  0.159  0.005 2451045.47784109 290.53 OH
  0.307  0.082 2451045.48982882 290.53 OH
  0.276  0.009 2451045.49309144 290.54 OH
  0.342  0.012 2451045.49635984 290.54 OH
  0.327 -0.004 2451045.49964005 290.54 OH
  0.147  0.145 2451087.41043681 336.31 OH
  0.158  0.097 2451087.42170995 336.34 OH
  0.191  0.101 2451087.42498090 336.35 OH
  0.187  0.085 2451087.42825058 336.36 OH
  0.163  0.102 2451087.43152269 336.37 OH
  0.241  0.187 2451087.43805428 336.39 OH
  0.103  0.156 2451087.44131956 336.40 OH
  0.244  0.109 2451087.44492500 336.41 OH
  0.272  0.134 2451087.44818958 336.42 OH
  0.164  0.067 2451087.45145197 336.43 OH
  0.136  0.210 2451087.45472095 336.44 OH
  0.203  0.023 2451087.45798333 336.45 OH
  0.087  0.085 2451087.46125556 336.46 OH
  0.167  0.164 2451087.46452743 336.47 OH
  0.004 -0.167 2451461.63506701 198.35 OH
  0.024 -0.188 2451461.64083021 198.35 OH
  0.038 -0.164 2451461.64828993 198.35 OH
  0.092 -0.172 2451461.65311794 198.35 OH
  0.117 -0.177 2451461.66313935 198.35 OH
 -0.034 -0.180 2451461.66914491 198.36 OH
  0.056 -0.204 2451461.67446574 198.36 OH
  0.013 -0.079 2451462.61343299 198.66 OH
  0.081 -0.153 2451462.61809873 198.67 OH
  0.058 -0.157 2451462.62656933 198.67 OH
 -0.015 -0.184 2451462.63105208 198.67 OH
  0.066 -0.164 2451462.64014028 198.67 OH
  0.055 -0.195 2451462.64362292 198.67 OH
  0.007 -0.254 2451462.64795949 198.68 OH
  0.111 -0.231 2451462.65137442 198.68 OH
  0.087 -0.260 2451462.65374653 198.68 OH
  0.226 -0.122 2451467.45583310 200.43 OH
  0.055 -0.122 2451467.45958090 200.42 OH
  0.081 -0.200 2451467.46607049 200.42 OH
  0.127 -0.138 2451467.49450833 200.42 OH
  0.090 -0.132 2451467.50062986 200.41 OH
  0.055 -0.161 2451467.50666296 200.41 OH
  0.296 -0.057 2451467.51180694 200.41 OH
  0.006 -0.168 2451467.52951736 200.43 OH
 -0.188 -0.003 2451492.39313912 209.20 OH
 -0.092 -0.161 2451492.40155440 209.20 OH
 -0.242 -0.209 2451492.41118414 209.21 OH
 -0.359 -0.210 2451492.42081331 209.21 OH
 -0.083 -0.162 2451492.43044039 209.21 OH
 -0.080 -0.149 2451493.49815440 209.64 OH
 -0.080 -0.114 2451493.50165891 209.64 OH
 -0.080 -0.093 2451493.50794653 209.64 OH
 -0.021 -0.089 2451493.51238623 209.64 OH
 -0.114 -0.150 2451493.51682350 209.64 OH
 -0.101 -0.034 2451493.52125671 209.65 OH
 -0.087 -0.134 2451493.52569873 209.65 OH
 -0.049 -0.063 2451493.53014525 209.65 OH
 -0.046 -0.043 2451493.53458542 209.65 OH
 -0.095 -0.086 2451493.54346424 209.66 OH
 -0.053 -0.058 2451493.54790255 209.66 OH
  0.110 -0.119 2451512.45574537 217.10 OH
  0.056 -0.214 2451512.45867176 217.10 OH
 -0.003 -0.144 2451512.46590961 217.11 OH
  0.062 -0.201 2451512.47035046 217.11 OH
  0.062 -0.191 2451512.47478495 217.11 OH
  0.030 -0.115 2451512.47921458 217.11 OH
  0.047 -0.202 2451512.48365208 217.12 OH
 -0.001 -0.147 2451512.48809572 217.12 OH
  0.036 -0.128 2451513.35188576 217.44 OH
 -0.003 -0.270 2451513.35461991 217.44 OH
 -0.015 -0.196 2451513.36072187 217.44 OH
  0.104 -0.155 2451513.37188611 217.44 OH
  0.079 -0.180 2451513.37746435 217.44 OH
  0.082 -0.161 2451513.38304201 217.45 OH
 -0.055 -0.178 2451514.33936817 217.79 OH
  0.052 -0.269 2451514.34211146 217.79 OH
  0.025 -0.157 2451514.34819479 217.80 OH
  0.094 -0.128 2451514.35377419 217.80 OH
  0.209 -0.111 2451514.35936007 217.80 OH
  0.039 -0.113 2451514.36493924 217.80 OH
  0.045 -0.170 2451514.37052130 217.80 OH
 -0.018 -0.203 2451519.48416435 220.01 OH
  0.104 -0.132 2451519.48929734 220.01 OH
  0.091 -0.191 2451519.49441470 220.01 OH
 -0.037 -0.175 2451519.50468380 220.01 OH
  0.101 -0.175 2451520.30514259 220.33 OH
  0.071 -0.162 2451520.31585093 220.34 OH
  0.135 -0.163 2451520.32375694 220.34 OH
  0.132 -0.173 2451520.33169062 220.34 OH
  0.123 -0.162 2451520.33962419 220.35 OH
  0.099 -0.168 2451520.35542049 220.36 OH
  0.166 -0.160 2451520.36332986 220.36 OH
  0.043 -0.123 2452234.51151586 260.60 OH
  0.083 -0.158 2452234.52027002 260.60 OH
  0.036 -0.122 2452234.52586701 260.61 OH
 -0.006 -0.119 2452234.53146227 260.61 OH
  0.030 -0.125 2452234.53706076 260.61 OH
  0.022 -0.148 2452234.54265799 260.61 OH
  0.086 -0.161 2452234.55062674 260.61 OH
  0.083 -0.142 2452235.61240961 261.17 OH
  0.007 -0.168 2452235.61785532 261.17 OH
  0.066 -0.168 2452235.62369861 261.18 OH
  0.062 -0.165 2452235.62951921 261.18 OH
  0.037 -0.157 2452235.63536597 261.18 OH
  0.051 -0.151 2452235.64122546 261.19 OH
  0.001 -0.168 2452235.64707361 261.19 OH
  0.011 -0.165 2452235.65291852 261.20 OH
  0.082 -0.153 2452235.65876944 261.20 OH
 -0.083 -0.048 2452261.55889225 277.39 OH
  0.097 -0.108 2452261.56443900 277.40 OH
  0.048 -0.099 2452261.57027905 277.40 OH
  0.014 -0.086 2452261.57613160 277.41 OH
  0.069 -0.078 2452261.58196944 277.41 OH
  0.003 -0.064 2452261.58782257 277.42 OH
 -0.043 -0.080 2452261.59379213 277.42 OH
  0.062 -0.085 2452261.59963333 277.43 OH
  0.007 -0.070 2452261.60548160 277.43 OH
  0.057 -0.087 2452261.61133160 277.43 OH
 -0.096 -0.092 2452264.56604387 279.33 OH
 -0.135 -0.008 2452264.57210301 279.34 OH
  0.052 -0.165 2452264.57815880 279.34 OH
 -0.128 -0.151 2452264.58421968 279.35 OH
  0.001 -0.044 2452265.43724641 280.30 OH
  0.001 -0.052 2452265.44284630 280.31 OH
  0.098 -0.105 2452265.44844248 280.31 OH
  0.048 -0.068 2452265.45403009 280.32 OH
 -0.052 -0.052 2452284.52404815 295.13 OH
  0.048 -0.092 2452284.53019340 295.14 OH
  0.038 -0.061 2452284.53578681 295.14 OH
 -0.011 -0.072 2452284.54138623 295.15 OH
 -0.135 -0.103 2452284.54698113 295.15 OH
  0.076 -0.101 2452284.55257882 295.16 OH
  0.180 -0.107 2452286.39199028 296.94 OH
  0.298 -0.172 2452286.39796377 296.95 OH
  0.078 -0.041 2452286.40472164 296.96 OH
  0.077 -0.064 2452286.41147650 296.96 OH
  0.036 -0.056 2452286.41822500 296.97 OH
  0.045 -0.030 2452286.42497604 296.97 OH
 -0.027  0.034 2452313.43897442 322.15 OH
 -0.177  0.232 2452313.44457211 322.16 OH
 -0.088  0.117 2452313.45016933 322.17 OH
 -0.008  0.041 2452313.45575972 322.17 OH
